phi1      Phi     phi2
5.34519  1.84120  5.72128
3.52209  1.83548  5.03006
5.84090  1.19173  4.68630
4.37729  1.37364  5.10895
3.66179  0.95363  2.40838
5.12329  1.83869  3.87849
5.52301  2.19931  3.61594
6.21351  2.54396  3.33042
0.00328  0.99576  1.72831
5.43771  2.20018  1.56218
3.84887  1.79615  2.83773
6.22004  1.46705  1.43076
3.31551  2.14372  5.05451
3.01293  1.28296  6.19588
5.03501  1.60184  0.18844
1.43158  2.34105  3.36568
3.12962  0.97174  0.54712
5.66022  2.49607  5.03969
3.61070  1.99530  6.21498
5.31041  2.12380  0.42064
4.64102  1.50901  5.90241
3.68186  2.52699  0.11421
1.55028  1.76132  4.29669
4.18722  2.48210  4.92436
0.52454  2.45819  3.35609
3.93303  0.96568  5.56287
4.15284  2.00078  5.64862
4.58517  1.36222  3.93289
5.59676  0.37951  0.86626
6.17199  1.70624  1.36849
4.83194  1.17070  1.14443
3.65334  1.02839  0.26276
5.83277  1.70592  0.67193
3.64482  1.25455  3.87323
0.10671  2.46624  5.90406
0.75938  0.52060  2.22711
5.42057  2.24603  2.58005
3.04293  2.05741  6.18485
5.30838  0.93271  5.94126
1.31573  1.59559  4.25148
3.47015  1.00283  6.20969
3.95767  1.78031  4.81814
0.20101  2.04217  2.11555
3.86236  2.75324  4.16186
2.27710  1.21686  1.53414
0.31122  1.71214  1.85673
3.07606  1.66747  4.27368
1.20958  1.34927  3.31656
0.77336  2.64918  2.58612
1.29116  1.94807  3.78649
0.92058  0.99388  4.71565
1.18798  1.16705  3.66645
0.26799  2.41786  3.46701
3.99106  2.40342  3.66667
1.77102  2.52404  3.21586
3.38411  2.96449  0.51895
4.36784  1.72519  4.52119
3.13604  1.25440  6.25903
3.36653  1.10868  2.22760
2.79717  1.50834  6.10260
0.77869  2.46926  2.17681
3.08101  1.30411  5.57032
5.35954  2.41433  2.85693
5.49105  2.39115  2.59764
1.69831  2.50278  1.36805
1.30980  2.36878  0.78951
3.54988  2.29628  1.94096
4.02319  2.22371  4.56226
2.62026  1.94447  4.91893
1.29418  1.94672  4.35920
5.95604  2.17107  0.06159
0.51567  2.09199  5.29807
0.66419  0.66673  5.79519
0.89247  1.15223  4.84406
1.04590  1.45909  0.26804
3.90160  2.25381  2.37621
3.60473  2.18454  4.42549
0.32721  2.57794  4.58367
5.85090  0.59598  1.40917
4.57831  1.14458  1.69052
4.63600  1.45496  4.22878
0.39838  1.95320  3.00017
5.40631  2.30178  3.91893
5.87104  1.32328  1.48563
6.18515  0.22013  1.11290
5.39687  2.29047  5.21281
4.93581  2.07649  4.81871
3.22565  1.77870  5.87150
1.11591  2.59061  0.67789
2.50441  1.19373  1.14497
0.84152  1.76729  0.62263
0.19408  0.26278  3.07728
5.90080  1.76770  1.21420
1.89316  1.32705  5.62905
1.85689  2.33403  0.62260
2.09190  1.81040  0.27750
2.93468  2.31548  3.50158
4.07274  1.02836  4.85373
0.15851  0.73442  1.95997
5.29173  1.87386  1.12458
3.51251  1.19063  2.12972
5.36647  1.99512  1.32038
2.18580  1.50950  3.20538
2.80248  0.84351  5.69485
0.34080  1.37456  3.95165
1.11280  1.90644  0.63796
4.16455  1.98400  2.45582
