   phi1     Phi    phi2
21.4628 99.5786 251.318
 245.51 71.7165  239.95
15.2752 75.1703 64.1277
25.7204 114.584 46.0852
187.794 97.8568 359.669
34.8228 165.702 61.6036
294.533 14.5046 11.7363
294.317 131.733 202.032
260.078 141.959 317.472
53.9516 104.784 240.903
237.458  127.14  68.556
186.694 91.1818  132.81
350.271 108.724 165.861
233.637 25.4099  353.39
288.119 32.7897 56.3058
163.367 153.463 307.988
155.661  61.594 232.115
297.113 117.501 135.458
30.0491 98.8779 68.7325
47.9416  84.506 154.171
62.4199 27.6901 173.528
140.738 99.4689 43.4202
299.297 14.9603 212.223
289.211 113.396 81.4276
21.7696 66.2844 138.463
143.733 70.5686 209.875
189.675 85.5118 90.6502
