     phi1       Phi      phi2
3.10131  0.56723  3.18187
0.04028  0.56723  6.24290
2.85599  0.65450  3.33993
2.99879  0.65450  3.10986
2.99879  0.65450  3.37166
3.14159  0.65450  2.96706
3.14159  0.65450  3.31613
3.28440  0.65450  2.91152
3.28440  0.65450  3.17332
6.14038  0.65450  6.25146
6.14038  0.65450  0.23007
6.28319  0.65450  6.10865
6.28319  0.65450  0.17453
0.14280  0.65450  6.05312
0.14280  0.65450  0.03173
2.91720  0.74176  3.19146
2.91720  0.74176  3.45326
3.04543  0.74176  3.41229
3.43011  0.74176  2.85307
3.43011  0.74176  2.94034
5.99466  0.74176  0.20125
5.99466  0.74176  0.28851
0.09617  0.74176  6.01248
0.22440  0.74176  5.97152
0.22440  0.74176  6.23332
2.87485  0.82903  3.67013
0.26674  0.82903  5.75465
3.01691  0.66912  3.18760
3.01212  0.66811  3.19299
3.01429  0.66960  3.18983
3.01242  0.66721  3.27015
3.01432  0.66926  3.26902
3.01308  0.66668  3.26956
3.13873  0.66504  3.06578
3.14470  0.66686  3.06099
3.13786  0.66689  3.06380
3.13194  0.66863  3.07691
3.14494  0.66818  3.13815
3.13875  0.67174  3.14683
3.14084  0.66651  3.14566
3.14168  0.66998  3.14238
3.13707  0.67079  3.14498
3.13589  0.66734  3.14953
3.14308  0.67097  3.13763
3.13252  0.67102  3.15112
3.14255  0.66718  3.21664
3.14437  0.67112  3.21570
3.15044  0.66671  3.21633
3.14269  0.66802  3.21559
3.26890  0.66979  3.01687
3.26937  0.66695  3.01488
3.26595  0.66913  3.01474
3.26829  0.66992  3.09438
3.26855  0.66810  3.09234
3.26867  0.66488  3.09309
6.16075  0.67157  0.04348
6.15433  0.67033  0.05123
6.15838  0.67066  0.05061
6.15445  0.66791  0.12673
6.15457  0.66567  0.12717
6.15400  0.66893  0.12561
6.28179  0.66789  6.20775
0.00166  0.67188  6.20262
6.27856  0.66936  6.20705
0.00056  0.66820  6.20711
0.00254  0.66905  6.27873
0.00015  0.66783  6.28247
0.00039  0.67063  0.00204
0.00258  0.66734  6.28315
6.27770  0.66803  0.00679
6.28193  0.66970  0.00163
6.28175  0.66954  0.00120
0.00423  0.66711  6.28275
0.00196  0.67100  0.07824
0.00091  0.66473  0.07627
0.00031  0.67006  0.07614
6.27722  0.66995  0.08192
0.12324  0.66783  6.15984
0.12686  0.66961  6.15312
0.12588  0.66985  6.15356
0.12161  0.67181  6.23962
0.12385  0.66934  6.23997
0.12141  0.66746  6.23831
2.93800  0.74751  3.26588
2.94261  0.74529  3.26151
2.94060  0.74455  3.26319
2.94037  0.74384  3.26494
2.93886  0.74944  3.34557
2.93968  0.74573  3.34342
2.94037  0.74338  3.34166
3.05536  0.74808  3.06996
3.05731  0.75013  3.06675
3.05577  0.74573  3.06989
3.05544  0.74520  3.15023
3.05392  0.75018  3.15039
3.04956  0.74711  3.15817
3.05801  0.74658  3.14932
3.05214  0.74245  3.14917
3.05691  0.74751  3.14316
3.04872  0.74690  3.15432
3.05803  0.74628  3.14802
3.05771  0.74560  3.14657
3.06202  0.74884  3.14178
3.05447  0.74790  3.14732
3.05522  0.75041  3.14932
3.05466  0.75101  3.14945
3.05200  0.74714  3.15346
3.05836  0.74735  3.22717
3.05562  0.74867  3.22699
3.05401  0.74793  3.22893
3.05530  0.74333  3.22903
3.06127  0.74812  3.22176
3.05726  0.74567  3.22554
3.05787  0.74531  3.22806
3.05565  0.74721  3.22345
3.05907  0.74086  3.22558
3.05478  0.74647  3.22664
3.06057  0.74857  3.22214
3.05214  0.74362  3.23067
3.05356  0.74943  3.22978
3.05413  0.74600  3.22633
3.05745  0.74379  3.23052
3.05902  0.74943  3.22491
3.05420  0.74877  3.22809
3.05663  0.74561  3.30654
3.05717  0.74679  3.30663
3.05979  0.74837  3.30187
3.05351  0.74283  3.30682
3.05836  0.74420  3.30689
3.05481  0.75060  3.30452
3.05295  0.74333  3.31051
3.16807  0.74774  2.95704
3.17823  0.74784  2.94097
3.17624  0.74342  3.03192
3.16968  0.74625  3.03480
3.17393  0.74704  3.03157
3.16458  0.74936  3.04096
3.17097  0.74813  3.03590
3.16713  0.74291  3.03715
3.16723  0.74807  3.03412
3.16767  0.74476  3.03586
3.16667  0.74608  3.04066
3.16901  0.74893  3.03827
3.17009  0.75080  3.03527
3.17287  0.74385  3.03359
3.16824  0.74223  3.11571
3.16945  0.74653  3.11444
3.16753  0.74531  3.11339
3.17196  0.74744  3.11355
3.16755  0.74417  3.11651
3.17070  0.74928  3.11189
3.17146  0.74647  3.10946
3.17184  0.74623  3.11431
3.16749  0.75069  3.11566
3.16646  0.74547  3.11759
3.17135  0.74804  3.10829
3.17327  0.74361  3.10754
3.17006  0.74778  3.11501
3.16707  0.75025  3.11618
3.17060  0.74951  3.11026
3.16760  0.74321  3.11840
3.16585  0.74879  3.11541
3.16570  0.74393  3.11636
3.16908  0.74834  3.11318
3.16910  0.75011  3.11407
3.16868  0.75102  3.11447
3.16627  0.74669  3.11477
3.17133  0.74332  3.11030
3.17205  0.74700  3.11171
3.17170  0.74497  3.11344
3.16816  0.74528  3.19200
3.17057  0.74924  3.18812
3.17116  0.74901  3.19069
3.17315  0.74647  3.19104
3.16868  0.74559  3.19092
3.16961  0.74722  3.19353
3.17311  0.74657  3.18493
3.17400  0.74785  3.18587
3.17179  0.75016  3.18934
3.16812  0.74432  3.18898
3.16875  0.74659  3.19175
3.16875  0.74922  3.19603
3.16175  0.74787  3.19811
3.16969  0.74587  3.19154
3.17261  0.75048  3.18739
3.17810  0.74878  3.26132
3.17528  0.74501  3.26946
3.17105  0.74888  3.26754
3.28265  0.74735  2.92090
3.28258  0.74449  2.92285
3.28619  0.74271  2.99671
3.27981  0.74277  3.00300
3.28907  0.74567  2.99725
3.28687  0.74911  3.00047
3.28476  0.74152  2.99720
3.28570  0.74734  2.99581
3.28401  0.74370  2.99853
3.28380  0.74505  2.99827
3.28605  0.74377  3.00064
3.28556  0.74876  3.07871
3.28998  0.74508  3.06750
3.27780  0.74595  3.07976
3.28289  0.74840  3.07766
3.28707  0.74427  3.07361
3.28684  0.74411  3.07700
3.28097  0.74822  3.07614
3.28380  0.74868  3.07637
3.28481  0.74697  3.07216
3.28377  0.74205  3.15852
3.28378  0.74783  3.15402
3.28569  0.74980  3.15395
6.14007  0.74584  6.27099
6.14260  0.74763  6.26589
6.13614  0.74551  0.06974
6.14167  0.74522  0.06395
6.13865  0.74729  0.06427
6.14373  0.74839  0.05984
6.13949  0.74687  0.06578
6.14330  0.74727  0.06168
6.14153  0.74688  0.06319
6.14047  0.75044  0.06470
6.14380  0.74843  0.14086
6.14323  0.74519  0.14111
6.14194  0.74584  0.14358
6.13689  0.74620  0.14316
6.14651  0.74659  0.13457
6.14073  0.74456  0.14225
6.14138  0.74794  0.14092
6.13888  0.74385  0.14304
6.14085  0.74483  0.22256
6.14068  0.74956  0.22557
6.25858  0.74884  6.15267
6.25037  0.74596  6.15752
6.25159  0.74711  6.15633
6.25809  0.74736  6.23386
6.26057  0.74663  6.23112
6.25357  0.74613  6.23446
6.25360  0.74787  6.23461
6.25763  0.74769  6.23189
6.25439  0.74960  6.23299
6.25395  0.74767  6.23575
6.25706  0.74977  6.23393
6.25091  0.74980  6.23662
6.25636  0.74700  6.23186
6.25746  0.74499  6.22840
6.25690  0.74693  6.23400
6.25435  0.74763  6.23395
6.25756  0.75333  6.23021
6.25360  0.74674  6.23889
6.25643  0.74615  0.02780
6.25215  0.74748  0.02668
6.24955  0.75290  0.03234
6.25475  0.74541  0.02744
6.25941  0.74766  0.02448
6.25762  0.74459  0.02253
6.25739  0.74859  0.02714
6.25870  0.74831  0.02363
6.25355  0.74515  0.02831
6.25566  0.74909  0.02811
6.24631  0.74640  0.03713
6.25940  0.74775  0.02547
6.25615  0.74556  0.02394
6.25259  0.74229  0.02797
6.25097  0.74895  0.03163
6.25575  0.74449  0.02809
6.25364  0.74555  0.02755
6.24823  0.74744  0.03271
6.25357  0.74222  0.02767
6.25507  0.74438  0.02682
6.25737  0.74690  0.02946
6.25786  0.74305  0.02504
6.25601  0.74574  0.02321
6.25371  0.74288  0.02847
6.25013  0.74794  0.03001
6.25097  0.74334  0.10967
6.25816  0.74514  0.10443
6.24880  0.74374  0.10963
6.25725  0.74356  0.10533
6.25447  0.74328  0.10534
6.25725  0.74547  0.10186
6.25591  0.74475  0.10905
6.24831  0.74769  0.11194
6.25109  0.74474  0.10822
6.25381  0.74832  0.10630
6.26041  0.74842  0.10511
6.25664  0.74753  0.18352
6.25395  0.74625  0.18613
0.08103  0.74861  6.12192
0.08338  0.74299  6.12281
0.08307  0.74699  6.12150
0.08517  0.74533  6.12070
0.08701  0.74580  6.11563
0.08689  0.74589  6.11602
0.08027  0.74428  6.12387
0.08612  0.74823  6.19451
0.08602  0.74689  6.19681
0.08661  0.74758  6.19464
0.08443  0.74788  6.20119
0.08732  0.74707  6.19594
0.08387  0.74867  6.19812
0.08358  0.74512  6.20098
0.08688  0.74404  6.19602
0.08737  0.74563  6.19629
0.08232  0.74829  6.19824
0.08567  0.74618  6.19923
0.08929  0.74662  6.19595
0.08910  0.74850  6.19742
0.09063  0.74590  6.18672
0.08388  0.74508  6.19862
0.08246  0.74631  6.20224
0.08190  0.74685  6.20009
0.08649  0.74587  6.27500
